Object ID,Name,Zone,Description,Notes
ACCESS_1_SPARSE_043,Magic Bridge Object Names/Ava's Bridge.mp3,,,
ACCESS_2_SPARSE_074,Magic Bridge Object Names/Northeast Gated Entrance.mp3,,,
ACCESS_3_SPARSE_077,Magic Bridge Object Names/Northwest Gated Entrance.mp3,,,slightly wrong location in James's pdf
BENCH_1_SPARSE_035,Magic Bridge Object Names/Bench in Tot Zone.mp3,,,
BENCH_2_SPARSE_083,Magic Bridge Object Names/Bench in Spinning Zone.mp3,,,
BENCH_3_SPARSE_042,Magic Bridge Object Names/Bench number 1 in Swinging and Swaying Zone.mp3,,,
BENCH_4_SPARSE_006,Magic Bridge Object Names/Bench number 2 in Swinging and Swaying Zone.mp3,,,
BENCH_5_SPARSE_058,Magic Bridge Object Names/Bench number 3 in Swinging and Swaying Zone.mp3,,,
BENCH_6_SPARSE_084,Magic Bridge Object Names/Bench in Music Zone.mp3,,,
BICYCLE_SPARSE_040,Magic Bridge Object Names/Exercise Bike.mp3,,,
CLIMBING_LOOPS_SPARSE_002,Magic Bridge Object Names/Climbing Loops on Slide Mound.mp3,,"The Climbing Loops offer another fun way to get to the top of the slide mound, and offer creative secure hand holds for those needing to climb more carefully. 13 metal loops are mounted at various places up in incline of the slide mound just due west of the slide mound summit. For people with VI is is recommended to use a cane to sense the location of the climbing loops when ascending with the climbing loops. .",
DISK_SWINGS_SPARSE_014,Magic Bridge Object Names/Disk Swings.mp3,,"The Disk Swings are supportive, allowing for use by all abilities, and promote collaborative swinging. The disk swing is an entertaining spot for you to relax and be swung. It is recommended that people, especially with visual impairments, be careful of their heads. The disk swing is a disk that fits several people and can be pushed back and forth.",
DISK_THING_SPARSE_081,Magic Bridge Object Names/Disk Spinner.mp3,,"The disk spinner may seem like a basic spinner, but of all the spinners at Magical Bridge it can offer the most thrilling and challenging spinning experience. The disk spinner almost looks like an enormous thumbtack that isn’t put in the ground perfectly straight. The disk is around 5 feet in diameter. On one side it is 1 foot off the ground and on the highest side it is 3 feet off the ground. So not only will you rotate when you are on the disk spinner, but you will go up and down. Users can sit or lay on the disk, or for a more challenging adventure, stand on the disk and rotate it by walking. The disk spinner is 12 inches high on one side, which is a bit high to transfer from a wheelchair so it would be good to have some assistance to do it. Even those who can’t move much or at all could be lifted and placed on the disk spinner for an enjoyable spin ride.",
DRINKING_FOUNTAIN_SPARSE_064,Magic Bridge Object Names/Drinking Fountain.mp3,,"The Drinking Fountain has a higher and lower fountain, as well as a bottle filler",
ELIPTICAL_THING_SPARSE_046,Magic Bridge Object Names/Walking Machine.mp3,,,Not sure what this is or what it's called
LASER_HARP_SPARSE_001,Magic Bridge Object Names/Laser Harp.mp3,Music zone,"The Magical Harp, created by artist Jen Lewin, is a permanent, outdoor motion sensitive instrument . Though the motion sensors are high overhead and out of reach, they can see you and detect your movements if you are standing directly under the arch. Much like plucking the string of a harp, passing through the beams triggers custom circuitry and sensors to produce musical notes. Users play to create an ambiance that is individual to the moment of interaction that reflects the broad idea of play that’s still fun and sophisticated. When crowds flock to it and people start to play independently, the group is participating in a musical symphony. For more information on this remarkable and innovative installation, please visit CODA Works, where the Magical Harp won a 2016 CODA Award.",
MINI_ROLLER_THING_SPARSE_068,Magic Bridge Object Names/Roller Table.mp3,,,Not sure what this is or what it's called
MINISLIDEMOUND_CLIMBING_LOOPS_SPARSE_018,Magic Bridge Object Names/Climbing Loops in Tot Zone.mp3,,,
